,B.1.1.7,B.1.351,P.1,B.1.617.2,B.1.617.1,undetermined,city,k
2021-08-25,0.002106697654042359,0.002123423070098198,0.0021077618184352108,0.9278997235831437,0.03801857464718984,0.027743819227090794,Zürich (ZH),0.001
2021-08-26,0.001999106079320632,0.00209085987963295,0.0018511939064006836,0.9288858120562655,0.029974022752452163,0.03519900532592809,Zürich (ZH),0.001
2021-08-27,0.0006047107129797408,0.0005297686633034476,0.0005373514201495211,0.9827102634968408,0.009397508783587308,0.006220396923139173,Zürich (ZH),0.001
2021-08-28,0.0018579450784178288,0.006856330600401683,0.0016987764092670958,0.9281555518521322,0.037912283004102,0.02351911305567909,Zürich (ZH),0.001
2021-08-29,0.006214773635565502,0.002805416589796305,0.0025237894346231875,0.8954452074964395,0.05527451859221532,0.0377362942513602,Zürich (ZH),0.001
2021-08-30,0.0016148388982573454,0.0016456161556170552,0.0015613864151898331,0.9425825560907958,0.032238321976643405,0.020357280463496524,Zürich (ZH),0.001
2021-08-31,0.004930681498626108,0.004912455292778263,0.004908261710047525,0.8303528343515735,0.08983295239573912,0.0650628147512355,Zürich (ZH),0.001
2021-08-18,0.00473388399256471,0.002532966096073882,0.0023807083309255713,0.9082616397766822,0.04837571273608868,0.033715089067664995,Zürich (ZH),0.001
2021-08-19,0.007437167970441584,0.006156871677381662,0.007091024988868931,0.7624371437799555,0.13038136289278834,0.08649642869056406,Zürich (ZH),0.001
2021-08-20,0.003023750167191743,0.002768253626908028,0.0028068327534165696,0.9041384755958545,0.05672265688953515,0.030540030967094088,Zürich (ZH),0.001
2021-08-21,0.004358205003269774,0.0019461153833741141,0.0017024638635265983,0.927388495128678,0.03773468659400566,0.026870034027145776,Zürich (ZH),0.001
2021-08-22,0.003246045732506073,0.0032623366440884503,0.0032438405262430314,0.885016312651648,0.0584446098415683,0.046786854603946014,Zürich (ZH),0.001
2021-08-23,0.00015540241945908166,0.01342264146179683,0.0,0.9694320841227024,0.016989871996041753,0.0,Zürich (ZH),0.001
2021-08-24,0.001588934926690514,0.001641062682824648,0.001585905911312206,0.9467029895829615,0.028024086008975664,0.020457020887235475,Zürich (ZH),0.001
2021-08-11,0.0038586894629106094,0.00393510541698354,0.003847541809239802,0.8670331653376573,0.07002460358871201,0.05130089438449681,Zürich (ZH),0.001
2021-08-12,0.0025625017566928312,0.0026598125622701195,0.005911550472073543,0.8865968879037857,0.05657770873130539,0.04569153857387254,Zürich (ZH),0.001
2021-08-13,0.00825060737360559,0.0026685809461111606,0.0022737447774073107,0.8908650331392991,0.05655386099196374,0.03938817277161309,Zürich (ZH),0.001
2021-08-14,0.0021845419216859163,0.002272419882740963,0.0021689892779608853,0.9254501727153918,0.03928476274006024,0.028639113462160286,Zürich (ZH),0.001
2021-08-15,0.003842834778582682,0.0038719749273074854,0.003803332668789514,0.8683476373734486,0.06956922998092269,0.05056499027094908,Zürich (ZH),0.001
2021-08-16,0.002020648042289458,0.002020192185388466,0.0019857759660149438,0.9293948351586446,0.03593995012980606,0.028638598517856644,Zürich (ZH),0.001
2021-08-17,0.0032593270207785974,0.0032214317718008163,0.0032037548151113006,0.889332777348409,0.05846739043718632,0.04251531860671406,Zürich (ZH),0.001
2021-08-04,0.05059198404550939,0.002750001475427744,0.0,0.7970353000121876,0.1077511169006481,0.04187159756622713,Zürich (ZH),0.001
2021-08-05,0.006489992090222438,0.006294620966887013,0.0066391855576077696,0.7651781113568048,0.12576413472431605,0.08963395530416184,Zürich (ZH),0.001
2021-08-06,0.003071032772354836,0.0029554093331721908,0.0029543468639408317,0.8832517385747832,0.07097064091212413,0.036796831543624835,Zürich (ZH),0.001
2021-08-07,0.0023998121383043973,0.002262507147237778,0.002328907637414539,0.9249108333206691,0.03751522247715526,0.030582717279218852,Zürich (ZH),0.001
2021-08-08,0.0005185739686090176,0.0004444255235160687,0.00043430410714979234,0.9844581346418153,0.00867233434283686,0.005472227416072879,Zürich (ZH),0.001
2021-08-09,0.0,0.0,0.015594778253703118,0.9660895047471832,0.018315716999113704,0.0,Zürich (ZH),0.001
2021-08-10,0.011751257410650301,0.0026228919230412754,0.004304860488671813,0.8748441700878298,0.06738586023512455,0.039090959854682396,Zürich (ZH),0.001
2021-07-28,0.0050302910820152385,0.004996994040371889,0.004766556112785644,0.8098064487640526,0.11236484358114002,0.06303486641963452,Zürich (ZH),0.001
2021-07-29,0.003321262679911298,0.003315006258801171,0.0033420512756731744,0.868227265367319,0.07742025523676967,0.04437415918152567,Zürich (ZH),0.001
2021-07-30,0.004675932047159775,0.003176265504719513,0.0028534449973571206,0.8920767144875097,0.05141613676190728,0.045801506201346646,Zürich (ZH),0.001
