division,pangoShort,date,count,count_tot,count_tot2,frac,count_tot3
Bern,other,2020-03-25,3,6,3,1.0,3
Bern,B.1.1.28,2020-03-26,0,0,0,0.0,2
Bern,B.1.1.7,2020-03-26,0,0,0,0.0,2
Bern,B.1.351,2020-03-26,0,0,0,0.0,2
Bern,B.1.617.1,2020-03-26,0,0,0,0.0,2
Bern,B.1.617.2,2020-03-26,0,0,0,0.0,2
Bern,other,2020-03-26,2,2,2,1.0,2
Bern,B.1.1.28,2020-03-30,0,0,0,0.0,1
Bern,B.1.1.7,2020-03-30,0,0,0,0.0,1
Bern,B.1.351,2020-03-30,0,0,0,0.0,1
Bern,B.1.617.1,2020-03-30,0,0,0,0.0,1
Bern,B.1.617.2,2020-03-30,0,0,0,0.0,1
Bern,other,2020-03-30,1,1,1,1.0,1
Bern,B.1.1.28,2020-03-31,0,0,0,0.0,6
Bern,B.1.1.7,2020-03-31,0,0,0,0.0,6
Bern,B.1.351,2020-03-31,0,0,0,0.0,6
Bern,B.1.617.1,2020-03-31,0,0,0,0.0,6
Bern,B.1.617.2,2020-03-31,0,0,0,0.0,6
Bern,other,2020-03-31,6,12,6,1.0,6
Bern,B.1.1.28,2020-04-01,0,0,0,0.0,6
Bern,B.1.1.7,2020-04-01,0,0,0,0.0,6
Bern,B.1.351,2020-04-01,0,0,0,0.0,6
Bern,B.1.617.1,2020-04-01,0,0,0,0.0,6
Bern,B.1.617.2,2020-04-01,0,0,0,0.0,6
Bern,other,2020-04-01,6,18,6,1.0,6
Bern,B.1.1.28,2020-04-06,0,0,0,0.0,2
Bern,B.1.1.7,2020-04-06,0,0,0,0.0,2
Bern,B.1.351,2020-04-06,0,0,0,0.0,2
Bern,B.1.617.1,2020-04-06,0,0,0,0.0,2
Bern,B.1.617.2,2020-04-06,0,0,0,0.0,2
Bern,other,2020-04-06,2,2,2,1.0,2
Bern,B.1.1.28,2020-04-07,0,0,0,0.0,15
Bern,B.1.1.7,2020-04-07,0,0,0,0.0,15
Bern,B.1.351,2020-04-07,0,0,0,0.0,15
Bern,B.1.617.1,2020-04-07,0,0,0,0.0,15
Bern,B.1.617.2,2020-04-07,0,0,0,0.0,15
Bern,other,2020-04-07,15,90,15,1.0,15
Bern,B.1.1.28,2020-04-17,0,0,0,0.0,3
Bern,B.1.1.7,2020-04-17,0,0,0,0.0,3
Bern,B.1.351,2020-04-17,0,0,0,0.0,3
Bern,B.1.617.1,2020-04-17,0,0,0,0.0,3
Bern,B.1.617.2,2020-04-17,0,0,0,0.0,3
Bern,other,2020-04-17,3,3,3,1.0,3
Bern,B.1.1.28,2020-04-18,0,0,0,0.0,1
Bern,B.1.1.7,2020-04-18,0,0,0,0.0,1
Bern,B.1.351,2020-04-18,0,0,0,0.0,1
Bern,B.1.617.1,2020-04-18,0,0,0,0.0,1
Bern,B.1.617.2,2020-04-18,0,0,0,0.0,1
Bern,other,2020-04-18,1,1,1,1.0,1
Bern,B.1.1.28,2020-04-20,0,0,0,0.0,9
Bern,B.1.1.7,2020-04-20,0,0,0,0.0,9
Bern,B.1.351,2020-04-20,0,0,0,0.0,9
Bern,B.1.617.1,2020-04-20,0,0,0,0.0,9
Bern,B.1.617.2,2020-04-20,0,0,0,0.0,9
Bern,other,2020-04-20,9,18,9,1.0,9
Bern,B.1.1.28,2020-04-21,0,0,0,,0
Bern,B.1.1.7,2020-04-21,0,0,0,,0
Bern,B.1.351,2020-04-21,0,0,0,,0
Bern,B.1.617.1,2020-04-21,0,0,0,,0
Bern,B.1.617.2,2020-04-21,0,0,0,,0
Bern,other,2020-04-21,0,0,0,,0
Bern,B.1.1.28,2020-04-25,0,0,0,,0
Bern,B.1.1.7,2020-04-25,0,0,0,,0
Bern,B.1.351,2020-04-25,0,0,0,,0
Bern,B.1.617.1,2020-04-25,0,0,0,,0
Bern,B.1.617.2,2020-04-25,0,0,0,,0
Bern,other,2020-04-25,0,0,0,,0
Bern,B.1.1.28,2020-04-26,0,0,0,0.0,1
Bern,B.1.1.7,2020-04-26,0,0,0,0.0,1
Bern,B.1.351,2020-04-26,0,0,0,0.0,1
Bern,B.1.617.1,2020-04-26,0,0,0,0.0,1
Bern,B.1.617.2,2020-04-26,0,0,0,0.0,1
Bern,other,2020-04-26,1,1,1,1.0,1
Bern,B.1.1.28,2020-04-27,0,0,0,0.0,6
Bern,B.1.1.7,2020-04-27,0,0,0,0.0,6
Bern,B.1.351,2020-04-27,0,0,0,0.0,6
Bern,B.1.617.1,2020-04-27,0,0,0,0.0,6
Bern,B.1.617.2,2020-04-27,0,0,0,0.0,6
Bern,other,2020-04-27,6,12,6,1.0,6
Bern,B.1.1.28,2020-04-28,0,0,0,0.0,1
Bern,B.1.1.7,2020-04-28,0,0,0,0.0,1
Bern,B.1.351,2020-04-28,0,0,0,0.0,1
Bern,B.1.617.1,2020-04-28,0,0,0,0.0,1
Bern,B.1.617.2,2020-04-28,0,0,0,0.0,1
Bern,other,2020-04-28,1,1,1,1.0,1
Bern,B.1.1.28,2020-04-29,0,0,0,0.0,1
Bern,B.1.1.7,2020-04-29,0,0,0,0.0,1
Bern,B.1.351,2020-04-29,0,0,0,0.0,1
Bern,B.1.617.1,2020-04-29,0,0,0,0.0,1
Bern,B.1.617.2,2020-04-29,0,0,0,0.0,1
Bern,other,2020-04-29,1,1,1,1.0,1
Bern,B.1.1.28,2020-04-30,0,0,0,0.0,4
Bern,B.1.1.7,2020-04-30,0,0,0,0.0,4
Bern,B.1.351,2020-04-30,0,0,0,0.0,4
Bern,B.1.617.1,2020-04-30,0,0,0,0.0,4
Bern,B.1.617.2,2020-04-30,0,0,0,0.0,4
Bern,other,2020-04-30,4,8,4,1.0,4
Bern,B.1.1.28,2020-05-01,0,0,0,0.0,6
Bern,B.1.1.7,2020-05-01,0,0,0,0.0,6
Bern,B.1.351,2020-05-01,0,0,0,0.0,6
Bern,B.1.617.1,2020-05-01,0,0,0,0.0,6
Bern,B.1.617.2,2020-05-01,0,0,0,0.0,6
Bern,other,2020-05-01,6,18,6,1.0,6
Bern,B.1.1.28,2020-05-02,0,0,0,0.0,1
Bern,B.1.1.7,2020-05-02,0,0,0,0.0,1
Bern,B.1.351,2020-05-02,0,0,0,0.0,1
Bern,B.1.617.1,2020-05-02,0,0,0,0.0,1
Bern,B.1.617.2,2020-05-02,0,0,0,0.0,1
Bern,other,2020-05-02,1,1,1,1.0,1
Bern,B.1.1.28,2020-05-04,0,0,0,,0
Bern,B.1.1.7,2020-05-04,0,0,0,,0
Bern,B.1.351,2020-05-04,0,0,0,,0
Bern,B.1.617.1,2020-05-04,0,0,0,,0
Bern,B.1.617.2,2020-05-04,0,0,0,,0
Bern,other,2020-05-04,0,0,0,,0
Bern,B.1.1.28,2020-05-05,0,0,0,0.0,1
Bern,B.1.1.7,2020-05-05,0,0,0,0.0,1
Bern,B.1.351,2020-05-05,0,0,0,0.0,1
Bern,B.1.617.1,2020-05-05,0,0,0,0.0,1
Bern,B.1.617.2,2020-05-05,0,0,0,0.0,1
Bern,other,2020-05-05,1,1,1,1.0,1
Bern,B.1.1.28,2020-05-06,0,0,0,,0
Bern,B.1.1.7,2020-05-06,0,0,0,,0
Bern,B.1.351,2020-05-06,0,0,0,,0
Bern,B.1.617.1,2020-05-06,0,0,0,,0
Bern,B.1.617.2,2020-05-06,0,0,0,,0
Bern,other,2020-05-06,0,0,0,,0
Bern,B.1.1.28,2020-05-07,0,0,0,,0
Bern,B.1.1.7,2020-05-07,0,0,0,,0
Bern,B.1.351,2020-05-07,0,0,0,,0
Bern,B.1.617.1,2020-05-07,0,0,0,,0
Bern,B.1.617.2,2020-05-07,0,0,0,,0
Bern,other,2020-05-07,0,0,0,,0
Bern,B.1.1.28,2020-05-12,0,0,0,,0
Bern,B.1.1.7,2020-05-12,0,0,0,,0
Bern,B.1.351,2020-05-12,0,0,0,,0
Bern,B.1.617.1,2020-05-12,0,0,0,,0
Bern,B.1.617.2,2020-05-12,0,0,0,,0
Bern,other,2020-05-12,0,0,0,,0
Bern,B.1.1.28,2020-05-13,0,0,0,0.0,1
Bern,B.1.1.7,2020-05-13,0,0,0,0.0,1
Bern,B.1.351,2020-05-13,0,0,0,0.0,1
Bern,B.1.617.1,2020-05-13,0,0,0,0.0,1
Bern,B.1.617.2,2020-05-13,0,0,0,0.0,1
Bern,other,2020-05-13,1,1,1,1.0,1
Bern,B.1.1.28,2020-05-15,0,0,0,0.0,1
Bern,B.1.1.7,2020-05-15,0,0,0,0.0,1
Bern,B.1.351,2020-05-15,0,0,0,0.0,1
Bern,B.1.617.1,2020-05-15,0,0,0,0.0,1
Bern,B.1.617.2,2020-05-15,0,0,0,0.0,1
Bern,other,2020-05-15,1,1,1,1.0,1
Bern,B.1.1.28,2020-05-16,0,0,0,0.0,1
Bern,B.1.1.7,2020-05-16,0,0,0,0.0,1
Bern,B.1.351,2020-05-16,0,0,0,0.0,1
Bern,B.1.617.1,2020-05-16,0,0,0,0.0,1
Bern,B.1.617.2,2020-05-16,0,0,0,0.0,1
Bern,other,2020-05-16,1,1,1,1.0,1
Bern,B.1.1.28,2020-05-18,0,0,0,0.0,1
Bern,B.1.1.7,2020-05-18,0,0,0,0.0,1
Bern,B.1.351,2020-05-18,0,0,0,0.0,1
Bern,B.1.617.1,2020-05-18,0,0,0,0.0,1
Bern,B.1.617.2,2020-05-18,0,0,0,0.0,1
Bern,other,2020-05-18,1,1,1,1.0,1
Bern,B.1.1.28,2020-05-19,0,0,0,0.0,1
Bern,B.1.1.7,2020-05-19,0,0,0,0.0,1
Bern,B.1.351,2020-05-19,0,0,0,0.0,1
Bern,B.1.617.1,2020-05-19,0,0,0,0.0,1
Bern,B.1.617.2,2020-05-19,0,0,0,0.0,1
Bern,other,2020-05-19,1,1,1,1.0,1
Bern,B.1.1.28,2020-05-21,0,0,0,,0
Bern,B.1.1.7,2020-05-21,0,0,0,,0
Bern,B.1.351,2020-05-21,0,0,0,,0
Bern,B.1.617.1,2020-05-21,0,0,0,,0
Bern,B.1.617.2,2020-05-21,0,0,0,,0
Bern,other,2020-05-21,0,0,0,,0
Bern,B.1.1.28,2020-05-27,0,0,0,0.0,2
Bern,B.1.1.7,2020-05-27,0,0,0,0.0,2
Bern,B.1.351,2020-05-27,0,0,0,0.0,2
Bern,B.1.617.1,2020-05-27,0,0,0,0.0,2
Bern,B.1.617.2,2020-05-27,0,0,0,0.0,2
Bern,other,2020-05-27,2,2,2,1.0,2
Bern,B.1.1.28,2020-05-28,0,0,0,0.0,2
Bern,B.1.1.7,2020-05-28,0,0,0,0.0,2
Bern,B.1.351,2020-05-28,0,0,0,0.0,2
Bern,B.1.617.1,2020-05-28,0,0,0,0.0,2
Bern,B.1.617.2,2020-05-28,0,0,0,0.0,2
Bern,other,2020-05-28,2,2,2,1.0,2
Bern,B.1.1.28,2020-06-02,0,0,0,,0
Bern,B.1.1.7,2020-06-02,0,0,0,,0
Bern,B.1.351,2020-06-02,0,0,0,,0
Bern,B.1.617.1,2020-06-02,0,0,0,,0
Bern,B.1.617.2,2020-06-02,0,0,0,,0
Bern,other,2020-06-02,0,0,0,,0
Bern,B.1.1.28,2020-06-03,0,0,0,0.0,2
Bern,B.1.1.7,2020-06-03,0,0,0,0.0,2
Bern,B.1.351,2020-06-03,0,0,0,0.0,2
Bern,B.1.617.1,2020-06-03,0,0,0,0.0,2
Bern,B.1.617.2,2020-06-03,0,0,0,0.0,2
Bern,other,2020-06-03,2,4,2,1.0,2
Bern,B.1.1.28,2020-06-04,0,0,0,0.0,1
Bern,B.1.1.7,2020-06-04,0,0,0,0.0,1
Bern,B.1.351,2020-06-04,0,0,0,0.0,1
Bern,B.1.617.1,2020-06-04,0,0,0,0.0,1
Bern,B.1.617.2,2020-06-04,0,0,0,0.0,1
Bern,other,2020-06-04,1,1,1,1.0,1
Bern,B.1.1.28,2020-06-05,0,0,0,,0
Bern,B.1.1.7,2020-06-05,0,0,0,,0
Bern,B.1.351,2020-06-05,0,0,0,,0
Bern,B.1.617.1,2020-06-05,0,0,0,,0
Bern,B.1.617.2,2020-06-05,0,0,0,,0
Bern,other,2020-06-05,0,0,0,,0
Bern,B.1.1.28,2020-06-08,0,0,0,0.0,1
Bern,B.1.1.7,2020-06-08,0,0,0,0.0,1
Bern,B.1.351,2020-06-08,0,0,0,0.0,1
Bern,B.1.617.1,2020-06-08,0,0,0,0.0,1
Bern,B.1.617.2,2020-06-08,0,0,0,0.0,1
Bern,other,2020-06-08,1,1,1,1.0,1
Bern,B.1.1.28,2020-06-09,0,0,0,,0
Bern,B.1.1.7,2020-06-09,0,0,0,,0
Bern,B.1.351,2020-06-09,0,0,0,,0
Bern,B.1.617.1,2020-06-09,0,0,0,,0
Bern,B.1.617.2,2020-06-09,0,0,0,,0
Bern,other,2020-06-09,0,0,0,,0
Bern,B.1.1.28,2020-06-10,0,0,0,0.0,1
Bern,B.1.1.7,2020-06-10,0,0,0,0.0,1
Bern,B.1.351,2020-06-10,0,0,0,0.0,1
Bern,B.1.617.1,2020-06-10,0,0,0,0.0,1
Bern,B.1.617.2,2020-06-10,0,0,0,0.0,1
Bern,other,2020-06-10,1,1,1,1.0,1
Bern,B.1.1.28,2020-06-11,0,0,0,0.0,1
