,city,index,variant,estimate,frac
79,Altenrhein (SG),2021-02-14,B.1.351,lower,0.0
80,Altenrhein (SG),2021-02-14,B.1.617.1,lower,0.0
81,Altenrhein (SG),2021-02-14,B.1.617.2,lower,0.0
82,Altenrhein (SG),2021-02-14,P.1,lower,0.0
83,Altenrhein (SG),2021-02-14,undetermined,lower,0.46900390198721253
84,Altenrhein (SG),2021-02-15,B.1.1.7,lower,0.37554369944229427
85,Altenrhein (SG),2021-02-15,B.1.351,lower,0.0
86,Altenrhein (SG),2021-02-15,B.1.617.1,lower,0.0
87,Altenrhein (SG),2021-02-15,B.1.617.2,lower,0.0
88,Altenrhein (SG),2021-02-15,P.1,lower,0.0
89,Altenrhein (SG),2021-02-15,undetermined,lower,0.454723413931563
90,Altenrhein (SG),2021-02-16,B.1.1.7,lower,0.38895876675313223
91,Altenrhein (SG),2021-02-16,B.1.351,lower,0.0
92,Altenrhein (SG),2021-02-16,B.1.617.1,lower,0.0
93,Altenrhein (SG),2021-02-16,B.1.617.2,lower,0.0
94,Altenrhein (SG),2021-02-16,P.1,lower,0.0
95,Altenrhein (SG),2021-02-16,undetermined,lower,0.4404148305697749
96,Altenrhein (SG),2021-02-17,B.1.1.7,lower,0.3981927553863126
97,Altenrhein (SG),2021-02-17,B.1.351,lower,0.0
98,Altenrhein (SG),2021-02-17,B.1.617.1,lower,0.0
99,Altenrhein (SG),2021-02-17,B.1.617.2,lower,0.0
100,Altenrhein (SG),2021-02-17,P.1,lower,0.0
101,Altenrhein (SG),2021-02-17,undetermined,lower,0.43102979463216207
102,Altenrhein (SG),2021-02-18,B.1.1.7,lower,0.40599407193952974
103,Altenrhein (SG),2021-02-18,B.1.351,lower,0.0
104,Altenrhein (SG),2021-02-18,B.1.617.1,lower,0.0
105,Altenrhein (SG),2021-02-18,B.1.617.2,lower,0.0
106,Altenrhein (SG),2021-02-18,P.1,lower,0.0
107,Altenrhein (SG),2021-02-18,undetermined,lower,0.4272719134345435
108,Altenrhein (SG),2021-02-19,B.1.1.7,lower,0.4079825342189328
109,Altenrhein (SG),2021-02-19,B.1.351,lower,0.0
110,Altenrhein (SG),2021-02-19,B.1.617.1,lower,0.0
111,Altenrhein (SG),2021-02-19,B.1.617.2,lower,0.0
112,Altenrhein (SG),2021-02-19,P.1,lower,0.0
113,Altenrhein (SG),2021-02-19,undetermined,lower,0.4259810099641632
114,Altenrhein (SG),2021-02-20,B.1.1.7,lower,0.4091054228476724
115,Altenrhein (SG),2021-02-20,B.1.351,lower,0.0
116,Altenrhein (SG),2021-02-20,B.1.617.1,lower,0.0
117,Altenrhein (SG),2021-02-20,B.1.617.2,lower,0.0
118,Altenrhein (SG),2021-02-20,P.1,lower,0.0
119,Altenrhein (SG),2021-02-20,undetermined,lower,0.4261540661997996
120,Altenrhein (SG),2021-02-21,B.1.1.7,lower,0.40823992937557657
121,Altenrhein (SG),2021-02-21,B.1.351,lower,0.0
122,Altenrhein (SG),2021-02-21,B.1.617.1,lower,0.0
123,Altenrhein (SG),2021-02-21,B.1.617.2,lower,0.0
124,Altenrhein (SG),2021-02-21,P.1,lower,0.0
125,Altenrhein (SG),2021-02-21,undetermined,lower,0.42451196254917417
126,Altenrhein (SG),2021-02-22,B.1.1.7,lower,0.4061717358822171
127,Altenrhein (SG),2021-02-22,B.1.351,lower,0.0
128,Altenrhein (SG),2021-02-22,B.1.617.1,lower,0.0
129,Altenrhein (SG),2021-02-22,B.1.617.2,lower,0.0
130,Altenrhein (SG),2021-02-22,P.1,lower,0.0
131,Altenrhein (SG),2021-02-22,undetermined,lower,0.4221578010194078
132,Altenrhein (SG),2021-02-23,B.1.1.7,lower,0.41116514386457015
133,Altenrhein (SG),2021-02-23,B.1.351,lower,0.0
134,Altenrhein (SG),2021-02-23,B.1.617.1,lower,0.0
135,Altenrhein (SG),2021-02-23,B.1.617.2,lower,0.0
136,Altenrhein (SG),2021-02-23,P.1,lower,0.0
137,Altenrhein (SG),2021-02-23,undetermined,lower,0.41522815414208064
138,Altenrhein (SG),2021-02-24,B.1.1.7,lower,0.4217705986815135
139,Altenrhein (SG),2021-02-24,B.1.351,lower,0.0
140,Altenrhein (SG),2021-02-24,B.1.617.1,lower,0.0
141,Altenrhein (SG),2021-02-24,B.1.617.2,lower,0.0
142,Altenrhein (SG),2021-02-24,P.1,lower,0.0
