index,city,estimate,variant,frac
2021-06-13,Lugano (TI),robust,B.1.1.7,0.9651513840245733
2021-06-14,Lugano (TI),robust,B.1.1.7,0.9585495006781491
2021-06-15,Lugano (TI),robust,B.1.1.7,0.9477012262548365
2021-06-02,Lugano (TI),robust,B.1.1.7,0.970822151655608
2021-06-03,Lugano (TI),robust,B.1.1.7,0.9708428552291751
2021-06-04,Lugano (TI),robust,B.1.1.7,0.9705148994820126
2021-06-05,Lugano (TI),robust,B.1.1.7,0.9700005333830958
2021-06-06,Lugano (TI),robust,B.1.1.7,0.9694926152823549
2021-06-07,Lugano (TI),robust,B.1.1.7,0.9692063249234094
2021-06-08,Lugano (TI),robust,B.1.1.7,0.9693238665842314
2021-05-26,Lugano (TI),robust,B.1.1.7,0.9505369706159684
2021-05-27,Lugano (TI),robust,B.1.1.7,0.955665428865402
2021-05-29,Lugano (TI),robust,B.1.1.7,0.9642020194175617
2021-05-31,Lugano (TI),robust,B.1.1.7,0.9690965072563983
2021-06-01,Lugano (TI),robust,B.1.1.7,0.9702955622204869
2021-05-19,Lugano (TI),robust,B.1.1.7,0.9451270380266602
2021-05-21,Lugano (TI),robust,B.1.1.7,0.93583214602256
2021-05-22,Lugano (TI),robust,B.1.1.7,0.934774486578112
2021-05-23,Lugano (TI),robust,B.1.1.7,0.9364107768122134
2021-05-24,Lugano (TI),robust,B.1.1.7,0.9402055119411502
2021-05-25,Lugano (TI),robust,B.1.1.7,0.945204761987066
2021-05-12,Lugano (TI),robust,B.1.1.7,0.9763617246167774
2021-05-13,Lugano (TI),robust,B.1.1.7,0.9748033698633671
2021-05-14,Lugano (TI),robust,B.1.1.7,0.9722340341753396
2021-05-15,Lugano (TI),robust,B.1.1.7,0.9686000140225898
2021-05-16,Lugano (TI),robust,B.1.1.7,0.9638650092328773
2021-05-17,Lugano (TI),robust,B.1.1.7,0.9581079232130852
2021-05-18,Lugano (TI),robust,B.1.1.7,0.9516439272023353
2021-02-01,Lugano (TI),robust,B.1.1.7,0.3538519709718779
2021-02-02,Lugano (TI),robust,B.1.1.7,0.3482964147192957
2021-02-03,Lugano (TI),robust,B.1.1.7,0.3424394009822473
2021-02-04,Lugano (TI),robust,B.1.1.7,0.3363743071132901
2021-02-05,Lugano (TI),robust,B.1.1.7,0.33022063976099847
2021-02-06,Lugano (TI),robust,B.1.1.7,0.32412010429751215
2021-02-07,Lugano (TI),robust,B.1.1.7,0.3182381633208198
2021-02-08,Lugano (TI),robust,B.1.1.7,0.31278514548875497
2021-02-09,Lugano (TI),robust,B.1.1.7,0.3080364007993049
2021-02-10,Lugano (TI),robust,B.1.1.7,0.3043582308003601
2021-02-11,Lugano (TI),robust,B.1.1.7,0.3022804684418357
2021-02-12,Lugano (TI),robust,B.1.1.7,0.3026554056530337
2021-02-13,Lugano (TI),robust,B.1.1.7,0.30688427657478307
2021-02-14,Lugano (TI),robust,B.1.1.7,0.31710794138323783
2021-02-15,Lugano (TI),robust,B.1.1.7,0.3361667972898138
2021-02-16,Lugano (TI),robust,B.1.1.7,0.3672164840331368
2021-02-17,Lugano (TI),robust,B.1.1.7,0.4137720170365287
2021-02-18,Lugano (TI),robust,B.1.1.7,0.4806880586131088
2021-02-19,Lugano (TI),robust,B.1.1.7,0.5711647965760727
2021-02-20,Lugano (TI),robust,B.1.1.7,0.6764209195690069
2021-02-21,Lugano (TI),robust,B.1.1.7,0.7665110222338073
2021-02-22,Lugano (TI),robust,B.1.1.7,0.8280740251882317
2021-02-23,Lugano (TI),robust,B.1.1.7,0.8648338385627611
2021-02-24,Lugano (TI),robust,B.1.1.7,0.8853895061831389
2021-02-25,Lugano (TI),robust,B.1.1.7,0.8960362908460696
2021-02-26,Lugano (TI),robust,B.1.1.7,0.9004681473324166
2021-02-27,Lugano (TI),robust,B.1.1.7,0.9010897480505851
2021-02-28,Lugano (TI),robust,B.1.1.7,0.8997473445651292
2021-03-01,Lugano (TI),robust,B.1.1.7,0.8979260007109103
2021-03-02,Lugano (TI),robust,B.1.1.7,0.8966954820334703
2021-03-03,Lugano (TI),robust,B.1.1.7,0.8966334193285888
2021-03-04,Lugano (TI),robust,B.1.1.7,0.8978313296839571
2021-03-05,Lugano (TI),robust,B.1.1.7,0.8999929241578652
2021-03-06,Lugano (TI),robust,B.1.1.7,0.9026458459298101
2021-03-07,Lugano (TI),robust,B.1.1.7,0.905326124412049
2021-03-08,Lugano (TI),robust,B.1.1.7,0.9077217084426172
2021-03-09,Lugano (TI),robust,B.1.1.7,0.909707969893977
2021-03-10,Lugano (TI),robust,B.1.1.7,0.9113369439400915
2021-03-11,Lugano (TI),robust,B.1.1.7,0.9128143783296897
2021-03-12,Lugano (TI),robust,B.1.1.7,0.9144974318281799
2021-03-13,Lugano (TI),robust,B.1.1.7,0.9168782548250508
2021-03-14,Lugano (TI),robust,B.1.1.7,0.920518470377375
2021-03-15,Lugano (TI),robust,B.1.1.7,0.925878044007695
